Linux 3.10.0-693.11.6.el7.x86_64 (blockchainmaster151) 	03/22/2018 	_x86_64_	(32 CPU)

09:28:17 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:32:09 AM     all      1.56      0.00      0.03      0.03      0.00     98.37
09:32:10 AM     all      1.44      0.00      0.06      0.00      0.00     98.50
09:32:11 AM     all      1.53      0.00      0.06      0.00      0.00     98.41
09:32:12 AM     all      1.41      0.00      0.06      0.00      0.00     98.53
09:32:13 AM     all      1.44      0.00      0.03      0.00      0.00     98.53
09:32:14 AM     all      1.44      0.00      0.03      0.00      0.00     98.53
09:32:15 AM     all      1.50      0.00      0.06      0.03      0.00     98.41
09:32:16 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:32:17 AM     all      1.50      0.00      0.06      0.00      0.00     98.44
09:32:18 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:32:19 AM     all      1.47      0.00      0.03      0.00      0.00     98.50
09:32:20 AM     all      1.56      0.00      0.06      0.00      0.00     98.37
09:32:21 AM     all      1.47      0.00      0.06      0.03      0.00     98.44
09:32:22 AM     all      1.44      0.00      0.03      0.00      0.00     98.53
09:32:23 AM     all      1.44      0.00      0.06      0.00      0.00     98.50
09:32:24 AM     all      1.56      0.00      0.13      0.00      0.00     98.31
09:32:25 AM     all      1.41      0.00      0.06      0.00      0.00     98.53
09:32:26 AM     all      1.41      0.00      0.03      0.00      0.00     98.56
09:32:27 AM     all      1.53      0.00      0.09      0.03      0.00     98.34
09:32:28 AM     all      1.50      0.00      0.03      0.00      0.00     98.47
09:32:29 AM     all      1.41      0.00      0.06      0.00      0.00     98.53
09:32:30 AM     all      1.47      0.00      0.03      0.00      0.00     98.50
09:32:31 AM     all      1.44      0.00      0.09      0.00      0.00     98.47
09:32:32 AM     all      1.44      0.00      0.03      0.00      0.00     98.53
09:32:33 AM     all      1.44      0.00      0.06      0.03      0.00     98.47
09:32:34 AM     all      1.56      0.00      0.06      0.00      0.00     98.37
09:32:35 AM     all      1.53      0.00      0.03      0.00      0.00     98.44
09:32:36 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:32:37 AM     all      1.47      0.00      0.09      0.00      0.00     98.44
09:32:38 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:32:39 AM     all      1.47      0.00      0.09      0.03      0.00     98.41
09:32:40 AM     all      1.50      0.00      0.09      0.00      0.00     98.41
09:32:41 AM     all      1.50      0.00      0.09      0.00      0.00     98.41
09:32:42 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:32:43 AM     all      1.56      0.00      0.03      0.00      0.00     98.41
09:32:44 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:32:45 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:32:46 AM     all      1.44      0.00      0.06      0.03      0.00     98.47
09:32:47 AM     all      1.47      0.00      0.06      0.00      0.00     98.47
09:32:48 AM     all      1.44      0.00      0.03      0.00      0.00     98.53
09:32:49 AM     all      1.62      0.00      0.06      0.00      0.00     98.31
09:32:50 AM     all      1.44      0.00      0.06      0.03      0.00     98.47
